experiment,dataset,method,degree,regularization,lambda1,lambda2,batch_size,normalized,condition_number,loss,risk,l1,l2,iterations,epochs,grad_evals,time_seconds,status,converged,weights,alpha0,decay,clipped_updates,max_grad_norm,linear_solver,mu0,mu_final,accepted_steps,rejected_steps
base_models,almost_linear,analytic,1,none,0.0,0.0,,True,1.0,0.08116209806404359,0.08116209806404359,0.0,0.0,1,0,0,4.2400002712383866e-05,closed_form,False,"[-1.034514258, 3.49103108]",,,,,,,,,
base_models,almost_linear,sgd,1,none,0.0,0.0,1,True,1.0,0.08117772694124008,0.08117772694124008,0.0,0.0,360,360,54000,0.7067997999984073,max_epochs_reached,False,"[-1.03785575, 3.488918427]",0.018,0.02,0.0,100.0,,,,,
base_models,almost_linear,mini_batch,1,none,0.0,0.0,32,True,1.0,0.08116281302171569,0.08116281302171569,0.0,0.0,360,360,1800,0.04209600000467617,max_epochs_reached,False,"[-1.034542555, 3.491876158]",0.025,0.02,0.0,100.0,,,,,
base_models,almost_linear,gauss_newton,1,none,0.0,0.0,,True,1.0,0.08116209806404359,0.08116209806404359,0.0,0.0,2,0,2,0.00027859999681822956,converged,True,"[-1.034514258, 3.49103108]",,,,,solve,,,,
base_models,almost_linear,levenberg_marquardt,1,none,0.0,0.0,,True,1.0,0.08116209806404359,0.08116209806404359,0.0,0.0,4,0,4,0.00040419999277219176,converged,True,"[-1.034514258, 3.49103108]",,,,,solve,0.01,0.000625,4.0,0.0
base_models,almost_linear,sgd,2,none,0.0,0.0,1,True,7.6701851647563535,0.08091607804392614,0.08091607804392614,0.0,0.0,360,360,54000,0.7333109000028344,max_epochs_reached,False,"[-1.017232086, 3.488057917, -0.02082421474]",0.018,0.02,0.0,100.0,,,,,
base_models,almost_linear,mini_batch,2,none,0.0,0.0,32,True,7.6701851647563535,0.08089247880245805,0.08089247880245805,0.0,0.0,360,360,1800,0.03470269999525044,max_epochs_reached,False,"[-1.016842589, 3.490802249, -0.01907302234]",0.025,0.02,0.0,100.0,,,,,
base_models,almost_linear,gauss_newton,2,none,0.0,0.0,,True,7.6701851647563535,0.08089014096563198,0.08089014096563198,0.0,0.0,2,0,2,0.00014810000720899552,converged,True,"[-1.016075394, 3.49103108, -0.01843886404]",,,,,solve,,,,
base_models,almost_linear,levenberg_marquardt,2,none,0.0,0.0,,True,7.6701851647563535,0.08089014096563195,0.08089014096563195,0.0,0.0,4,0,4,0.00029799999902024865,converged,True,"[-1.016075394, 3.49103108, -0.01843886405]",,,,,solve,0.01,0.00125,3.0,0.0
base_models,almost_linear,sgd,3,none,0.0,0.0,1,True,36.20779402181313,0.08304804463025557,0.08304804463025557,0.0,0.0,360,360,54000,1.1635175000119489,max_epochs_reached,False,"[-1.016814007, 3.536614549, -0.02412040493, -0.05252111374]",0.018,0.02,0.0,100.0,,,,,
base_models,almost_linear,mini_batch,3,none,0.0,0.0,32,True,36.20779402181313,0.08162937983388115,0.08162937983388115,0.0,0.0,360,360,1800,0.0618560000002617,max_epochs_reached,False,"[-1.015967738, 3.455954841, -0.01815265927, 0.01313476966]",0.025,0.02,0.0,100.0,,,,,
base_models,almost_linear,gauss_newton,3,none,0.0,0.0,,True,36.20779402181313,0.08029851054201,0.08029851054201,0.0,0.0,2,0,2,0.00025460000324528664,converged,True,"[-1.016075394, 3.546773439, -0.01843886404, -0.03096981259]",,,,,solve,,,,
base_models,almost_linear,levenberg_marquardt,3,none,0.0,0.0,,True,36.20779402181313,0.08029851054201,0.08029851054201,0.0,0.0,6,0,6,0.0006037999992258847,converged,True,"[-1.016075394, 3.546773439, -0.01843886404, -0.03096981259]",,,,,solve,0.01,0.000625,5.0,1.0
base_models,almost_linear,sgd,4,none,0.0,0.0,1,True,214.63444296035368,0.08026614312109838,0.08026614312109838,0.0,0.0,360,360,54000,0.740456899991841,max_epochs_reached,False,"[-0.9744773185, 3.539519459, -0.1356004972, -0.03886204911, 0.05169976882]",0.018,0.02,4.0,100.0,,,,,
base_models,almost_linear,mini_batch,4,none,0.0,0.0,32,True,214.63444296035368,0.08068466060502644,0.08068466060502644,0.0,0.0,360,360,1800,0.03549589999602176,max_epochs_reached,False,"[-0.9619488819, 3.456996762, -0.185410869, 0.01205826349, 0.06307444585]",0.025,0.02,0.0,100.0,,,,,
base_models,almost_linear,gauss_newton,4,none,0.0,0.0,,True,214.63444296035368,0.0792530191640473,0.0792530191640473,0.0,0.0,2,0,2,0.0001432999997632578,converged,True,"[-0.9796914892, 3.546773439, -0.1397437095, -0.03096981259, 0.04718109666]",,,,,solve,,,,
