batch_size,lambda2,lambda1,regularization,degree,dataset,method,loss,risk,l1,l2,grad_evals,epochs,time
32,0.0,0.0,none,5,almost_linear,mini_batch,13.33867984582428,13.33867984582428,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,none,5,almost_linear,mini_batch,5.664445847748966,5.664445847748966,0.0,0.0,5.0,1.0,0.0001176999940071255
32,0.0,0.0,none,5,almost_linear,mini_batch,2.645874766004393,2.645874766004393,0.0,0.0,10.0,2.0,0.00022339999850373715
32,0.0,0.0,none,5,almost_linear,mini_batch,2.3572433496296457,2.3572433496296457,0.0,0.0,15.0,3.0,0.0003234000032534823
32,0.0,0.0,none,5,almost_linear,mini_batch,1.6850532802656688,1.6850532802656688,0.0,0.0,20.0,4.0,0.0004332999960752204
32,0.0,0.0,none,5,almost_linear,mini_batch,1.51316851733552,1.51316851733552,0.0,0.0,25.0,5.0,0.0005325999954948202
32,0.0,0.0,none,5,almost_linear,mini_batch,1.302796383560423,1.302796383560423,0.0,0.0,30.0,6.0,0.0006300999957602471
32,0.0,0.0,none,5,almost_linear,mini_batch,0.9598790707932936,0.9598790707932936,0.0,0.0,35.0,7.0,0.0007277999975485727
32,0.0,0.0,none,5,almost_linear,mini_batch,0.8129141053421199,0.8129141053421199,0.0,0.0,40.0,8.0,0.0008245999924838543
32,0.0,0.0,none,5,almost_linear,mini_batch,0.6932314267015016,0.6932314267015016,0.0,0.0,45.0,9.0,0.0009218000050168484
32,0.0,0.0,none,5,almost_linear,mini_batch,0.6050148936041112,0.6050148936041112,0.0,0.0,50.0,10.0,0.0010193000052822754
32,0.0,0.0,none,5,almost_linear,mini_batch,0.5418609761476648,0.5418609761476648,0.0,0.0,55.0,11.0,0.001116100000217557
32,0.0,0.0,none,5,almost_linear,mini_batch,0.46313071916239984,0.46313071916239984,0.0,0.0,60.0,12.0,0.0012758999946527183
32,0.0,0.0,none,5,almost_linear,mini_batch,0.4063095368343502,0.4063095368343502,0.0,0.0,65.0,13.0,0.0013968999992357567
32,0.0,0.0,none,5,almost_linear,mini_batch,0.36297723449048874,0.36297723449048874,0.0,0.0,70.0,14.0,0.0015382999990833923
32,0.0,0.0,none,5,almost_linear,mini_batch,0.34446906580108577,0.34446906580108577,0.0,0.0,75.0,15.0,0.0016680999979143962
