batch_size,lambda2,lambda1,regularization,degree,dataset,method,loss,risk,l1,l2,grad_evals,epochs,time
32,0.0,0.0,none,4,nonlinear,mini_batch,0.8011107210671458,0.8011107210671458,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,none,4,nonlinear,mini_batch,0.7767702435123283,0.7767702435123283,0.0,0.0,5.0,1.0,0.00011680000170599669
32,0.0,0.0,none,4,nonlinear,mini_batch,0.7348766410372942,0.7348766410372942,0.0,0.0,10.0,2.0,0.000222400005441159
32,0.0,0.0,none,4,nonlinear,mini_batch,0.730135455993079,0.730135455993079,0.0,0.0,15.0,3.0,0.000324200009345077
32,0.0,0.0,none,4,nonlinear,mini_batch,0.6961138543691586,0.6961138543691586,0.0,0.0,20.0,4.0,0.00042630000098142773
32,0.0,0.0,none,4,nonlinear,mini_batch,0.7162884357931943,0.7162884357931943,0.0,0.0,25.0,5.0,0.000526999996509403
32,0.0,0.0,none,4,nonlinear,mini_batch,0.6809008765297164,0.6809008765297164,0.0,0.0,30.0,6.0,0.0006372000061674044
32,0.0,0.0,none,4,nonlinear,mini_batch,0.6773077352220986,0.6773077352220986,0.0,0.0,35.0,7.0,0.0007378000009339303
32,0.0,0.0,none,4,nonlinear,mini_batch,0.6690988621902686,0.6690988621902686,0.0,0.0,40.0,8.0,0.000836499995784834
32,0.0,0.0,none,4,nonlinear,mini_batch,0.6678388135316414,0.6678388135316414,0.0,0.0,45.0,9.0,0.000935200005187653
32,0.0,0.0,none,4,nonlinear,mini_batch,0.6673381596098874,0.6673381596098874,0.0,0.0,50.0,10.0,0.0010335999977542087
32,0.0,0.0,none,4,nonlinear,mini_batch,0.6669751127969287,0.6669751127969287,0.0,0.0,55.0,11.0,0.0011314000003039837
32,0.0,0.0,none,4,nonlinear,mini_batch,0.6616971246401903,0.6616971246401903,0.0,0.0,60.0,12.0,0.001229300003615208
32,0.0,0.0,none,4,nonlinear,mini_batch,0.6605522899070784,0.6605522899070784,0.0,0.0,65.0,13.0,0.001326500001596287
32,0.0,0.0,none,4,nonlinear,mini_batch,0.6693968643307818,0.6693968643307818,0.0,0.0,70.0,14.0,0.0014238000003388152
32,0.0,0.0,none,4,nonlinear,mini_batch,0.6617928980616187,0.6617928980616187,0.0,0.0,75.0,15.0,0.0015218000044114888
32,0.0,0.0,none,4,nonlinear,mini_batch,0.6605261728886486,0.6605261728886486,0.0,0.0,80.0,16.0,0.0016190000023925677
32,0.0,0.0,none,4,nonlinear,mini_batch,0.6586354120516663,0.6586354120516663,0.0,0.0,85.0,17.0,0.0017170000064652413
32,0.0,0.0,none,4,nonlinear,mini_batch,0.668078758461991,0.668078758461991,0.0,0.0,90.0,18.0,0.0018148000090150163
