batch_size,lambda2,lambda1,regularization,degree,dataset,method,loss,risk,l1,l2,grad_evals,epochs,time
1,0.0,0.0,none,2,nonlinear,sgd,0.8011107210671458,0.8011107210671458,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,none,2,nonlinear,sgd,0.7218097086882973,0.7218097086882973,0.0,0.0,150.0,1.0,0.001954799998202361
1,0.0,0.0,none,2,nonlinear,sgd,0.7341620931025615,0.7341620931025615,0.0,0.0,300.0,2.0,0.0038739000010536984
1,0.0,0.0,none,2,nonlinear,sgd,0.7090521196621165,0.7090521196621165,0.0,0.0,450.0,3.0,0.005797299992991611
1,0.0,0.0,none,2,nonlinear,sgd,0.6863480514959167,0.6863480514959167,0.0,0.0,600.0,4.0,0.007742699992377311
1,0.0,0.0,none,2,nonlinear,sgd,0.7997593917848214,0.7997593917848214,0.0,0.0,750.0,5.0,0.009672400003182702
1,0.0,0.0,none,2,nonlinear,sgd,0.6885963616562388,0.6885963616562388,0.0,0.0,900.0,6.0,0.011598099998082034
1,0.0,0.0,none,2,nonlinear,sgd,0.7340424250321759,0.7340424250321759,0.0,0.0,1050.0,7.0,0.013606099993921816
1,0.0,0.0,none,2,nonlinear,sgd,0.6933079766443755,0.6933079766443755,0.0,0.0,1200.0,8.0,0.015527600000496022
1,0.0,0.0,none,2,nonlinear,sgd,0.7556799386627663,0.7556799386627663,0.0,0.0,1350.0,9.0,0.017435100002330728
1,0.0,0.0,none,2,nonlinear,sgd,0.7357802980302219,0.7357802980302219,0.0,0.0,1500.0,10.0,0.01933640000061132
1,0.0,0.0,none,2,nonlinear,sgd,0.7012982166070797,0.7012982166070797,0.0,0.0,1650.0,11.0,0.02125960000557825
1,0.0,0.0,none,2,nonlinear,sgd,0.8123910937978054,0.8123910937978054,0.0,0.0,1800.0,12.0,0.02316100000462029
1,0.0,0.0,none,2,nonlinear,sgd,0.7173637761688267,0.7173637761688267,0.0,0.0,1950.0,13.0,0.025053399993339553
1,0.0,0.0,none,2,nonlinear,sgd,0.695150221999442,0.695150221999442,0.0,0.0,2100.0,14.0,0.026956899993820116
1,0.0,0.0,none,2,nonlinear,sgd,0.711528013552973,0.711528013552973,0.0,0.0,2250.0,15.0,0.028978300004382618
1,0.0,0.0,none,2,nonlinear,sgd,0.7207717773656294,0.7207717773656294,0.0,0.0,2400.0,16.0,0.030885899992426857
1,0.0,0.0,none,2,nonlinear,sgd,0.6991587648632646,0.6991587648632646,0.0,0.0,2550.0,17.0,0.03278829999908339
1,0.0,0.0,none,2,nonlinear,sgd,0.6864231322546526,0.6864231322546526,0.0,0.0,2700.0,18.0,0.03470249999372754
1,0.0,0.0,none,2,nonlinear,sgd,0.69196575101493,0.69196575101493,0.0,0.0,2850.0,19.0,0.03661389999615494
1,0.0,0.0,none,2,nonlinear,sgd,0.7173901441947252,0.7173901441947252,0.0,0.0,3000.0,20.0,0.03851589999976568
1,0.0,0.0,none,2,nonlinear,sgd,0.7115703502817365,0.7115703502817365,0.0,0.0,3150.0,21.0,0.04041839999263175
1,0.0,0.0,none,2,nonlinear,sgd,0.6937200485590389,0.6937200485590389,0.0,0.0,3300.0,22.0,0.04235190000326838
1,0.0,0.0,none,2,nonlinear,sgd,0.6916815874141852,0.6916815874141852,0.0,0.0,3450.0,23.0,0.04446780000580475
