lambda2,lambda1,regularization,degree,dataset,method,loss,risk,l1,l2,grad_evals,epochs,time
0.0,0.0,none,10,nonlinear,levenberg_marquardt,0.8011107210671458,0.8011107210671458,0.0,0.0,0.0,0.0,0.0
0.0,0.0,none,10,nonlinear,levenberg_marquardt,0.1212634130839228,0.1212634130839228,0.0,0.0,1.0,1.0,9.470000804867595e-05
0.0,0.0,none,10,nonlinear,levenberg_marquardt,0.12065639481523903,0.12065639481523903,0.0,0.0,2.0,2.0,0.0001765000051818788
0.0,0.0,none,10,nonlinear,levenberg_marquardt,0.12057743291363941,0.12057743291363941,0.0,0.0,3.0,3.0,0.0002545000024838373
0.0,0.0,none,10,nonlinear,levenberg_marquardt,0.12057150548563307,0.12057150548563307,0.0,0.0,4.0,4.0,0.00033239999902434647
0.0,0.0,none,10,nonlinear,levenberg_marquardt,0.12057135283854518,0.12057135283854518,0.0,0.0,5.0,5.0,0.0004225000011501834
0.0,0.0,none,10,nonlinear,levenberg_marquardt,0.12057135167598874,0.12057135167598874,0.0,0.0,6.0,6.0,0.0004994000046281144
0.0,0.0,none,10,nonlinear,levenberg_marquardt,0.12057135167357162,0.12057135167357162,0.0,0.0,7.0,7.0,0.0005750999989686534
0.0,0.0,none,10,nonlinear,levenberg_marquardt,0.12057135167357018,0.12057135167357018,0.0,0.0,8.0,8.0,0.0006507000070996583
0.0,0.0,none,10,nonlinear,levenberg_marquardt,0.12057135167357018,0.12057135167357018,0.0,0.0,9.0,9.0,0.0007290000066859648
0.0,0.0,none,10,nonlinear,levenberg_marquardt,0.12057135167357018,0.12057135167357018,0.0,0.0,10.0,10.0,0.0008033000049181283
0.0,0.0,none,10,nonlinear,levenberg_marquardt,0.12057135167357018,0.12057135167357018,0.0,0.0,11.0,11.0,0.0008768999978201464
0.0,0.0,none,10,nonlinear,levenberg_marquardt,0.12057135167357018,0.12057135167357018,0.0,0.0,12.0,12.0,0.0009504000045126304
0.0,0.0,none,10,nonlinear,levenberg_marquardt,0.12057135167357018,0.12057135167357018,0.0,0.0,13.0,13.0,0.0010239999974146485
0.0,0.0,none,10,nonlinear,levenberg_marquardt,0.12057135167357011,0.12057135167357011,0.0,0.0,14.0,14.0,0.0010959000064758584
0.0,0.0,none,10,nonlinear,levenberg_marquardt,0.12057135167357011,0.12057135167357011,0.0,0.0,15.0,15.0,0.0011729000107152387
0.0,0.0,none,10,nonlinear,levenberg_marquardt,0.12057135167357011,0.12057135167357011,0.0,0.0,16.0,16.0,0.0012461000005714595
0.0,0.0,none,10,nonlinear,levenberg_marquardt,0.12057135167357011,0.12057135167357011,0.0,0.0,17.0,17.0,0.0013212000048952177
0.0,0.0,none,10,nonlinear,levenberg_marquardt,0.12057135167357011,0.12057135167357011,0.0,0.0,18.0,18.0,0.0013953000016044825
0.0,0.0,none,10,nonlinear,levenberg_marquardt,0.12057135167357011,0.12057135167357011,0.0,0.0,19.0,19.0,0.0014694999990751967
0.0,0.0,none,10,nonlinear,levenberg_marquardt,0.12057135167357011,0.12057135167357011,0.0,0.0,20.0,20.0,0.0015436999965459108
0.0,0.0,none,10,nonlinear,levenberg_marquardt,0.12057135167357011,0.12057135167357011,0.0,0.0,21.0,21.0,0.0016171000024769455
0.0,0.0,none,10,nonlinear,levenberg_marquardt,0.12057135167357011,0.12057135167357011,0.0,0.0,22.0,22.0,0.001691099998424761
0.0,0.0,none,10,nonlinear,levenberg_marquardt,0.12057135167357011,0.12057135167357011,0.0,0.0,23.0,23.0,0.001764300002832897
0.0,0.0,none,10,nonlinear,levenberg_marquardt,0.12057135167357011,0.12057135167357011,0.0,0.0,24.0,24.0,0.0018381999980192631
0.0,0.0,none,10,nonlinear,levenberg_marquardt,0.12057135167357011,0.12057135167357011,0.0,0.0,25.0,25.0,0.0019119000062346458
0.0,0.0,none,10,nonlinear,levenberg_marquardt,0.12057135167357011,0.12057135167357011,0.0,0.0,26.0,26.0,0.0019844000053126365
0.0,0.0,none,10,nonlinear,levenberg_marquardt,0.12057135167357011,0.12057135167357011,0.0,0.0,27.0,27.0,0.0020581999997375533
0.0,0.0,none,10,nonlinear,levenberg_marquardt,0.12057135167357011,0.12057135167357011,0.0,0.0,28.0,28.0,0.0021293000027071685
