batch_size,lambda2,lambda1,regularization,degree,dataset,method,loss,risk,l1,l2,grad_evals,epochs,time
32,0.001,0.001,ElasticNet,10,nonlinear,mini_batch,0.8011107210671458,0.8011107210671458,0.0,0.0,0.0,0.0,0.0
32,0.001,0.001,ElasticNet,10,nonlinear,mini_batch,1100.8052900031084,1100.803122699006,0.001497070809192479,0.0006702332932559101,5.0,1.0,0.00022190000163391232
32,0.001,0.001,ElasticNet,10,nonlinear,mini_batch,7547.977765717476,7547.972219405547,0.0028794254601268877,0.00266688646903685,10.0,2.0,0.0003958000015700236
32,0.001,0.001,ElasticNet,10,nonlinear,mini_batch,500.58841019065926,500.5869575202755,0.0012104563741881496,0.0002422140095930356,15.0,3.0,0.0005543000006582588
32,0.001,0.001,ElasticNet,10,nonlinear,mini_batch,4937.389905827838,4937.385729669869,0.002571886560279732,0.0016042714099456185,20.0,4.0,0.0007172999903559685
32,0.001,0.001,ElasticNet,10,nonlinear,mini_batch,926.2458137295462,926.2437114975531,0.0014036938014740652,0.000698538191557437,25.0,5.0,0.000872799995704554
32,0.001,0.001,ElasticNet,10,nonlinear,mini_batch,4026.1002887993504,4026.0971697717277,0.001863393664818826,0.0012556339580065284,30.0,6.0,0.0010464999941177666
32,0.001,0.001,ElasticNet,10,nonlinear,mini_batch,3101.5990133800815,3101.595855570275,0.0020697272341359653,0.0010880825722397141,35.0,7.0,0.001210599992191419
32,0.001,0.001,ElasticNet,10,nonlinear,mini_batch,1937.346070236888,1937.3440611158867,0.0014003074510763002,0.0006088135500228316,40.0,8.0,0.0013669999898411334
32,0.001,0.001,ElasticNet,10,nonlinear,mini_batch,973.1245407922246,973.1222194444936,0.0015566990678590696,0.0007646486632649234,45.0,9.0,0.0015199999907054007
32,0.001,0.001,ElasticNet,10,nonlinear,mini_batch,504.7855718082255,504.78420026066857,0.001119402827870369,0.000252144728991892,50.0,10.0,0.0016710999916540459
32,0.001,0.001,ElasticNet,10,nonlinear,mini_batch,1956.0918435738251,1956.0890866126128,0.0019001371964182398,0.0008568240159456768,55.0,11.0,0.0018210999987786636
32,0.001,0.001,ElasticNet,10,nonlinear,mini_batch,2856.9518515951336,2856.948809226741,0.0020554152345475018,0.0009869531577562994,60.0,12.0,0.0019709999905899167
32,0.001,0.001,ElasticNet,10,nonlinear,mini_batch,3770.58285508117,3770.579699345268,0.0019572544654672566,0.001198481436053708,65.0,13.0,0.0021198000031290576
32,0.001,0.001,ElasticNet,10,nonlinear,mini_batch,738.1557055602854,738.1543202298973,0.0011071695941474624,0.0002781607939461723,70.0,14.0,0.0022709000040777028
32,0.001,0.001,ElasticNet,10,nonlinear,mini_batch,5279.294266340077,5279.290538747339,0.0020907874528497327,0.0016368052844176015,75.0,15.0,0.0024545999913243577
32,0.001,0.001,ElasticNet,10,nonlinear,mini_batch,2340.2418151623333,2340.239775607472,0.0013177997696124516,0.0007217550914419036,80.0,16.0,0.002620400002342649
32,0.001,0.001,ElasticNet,10,nonlinear,mini_batch,1323.788175456062,1323.7866267823392,0.0011137075552663323,0.00043496616736752946,85.0,17.0,0.00277279999863822
32,0.001,0.001,ElasticNet,10,nonlinear,mini_batch,1485.7019123801076,1485.6990414277539,0.0020874097341788632,0.0007835426195177351,90.0,18.0,0.0029232999950181693
32,0.001,0.001,ElasticNet,10,nonlinear,mini_batch,1713.7662322896736,1713.763398784191,0.0018315441249345966,0.001001961357641536,95.0,19.0,0.00309209999977611
