batch_size,lambda2,lambda1,regularization,degree,dataset,method,loss,risk,l1,l2,grad_evals,epochs,time
32,0.001,0.0,L2,10,nonlinear,mini_batch,0.8011107210671458,0.8011107210671458,0.0,0.0,0.0,0.0,0.0
32,0.001,0.0,L2,10,nonlinear,mini_batch,385.4002799516874,385.3999778843253,0.0,0.00030206736208223924,5.0,1.0,0.00019999999494757503
32,0.001,0.0,L2,10,nonlinear,mini_batch,641.5150394967568,641.5148314745355,0.0,0.0002080222212606728,10.0,2.0,0.00034749999758787453
32,0.001,0.0,L2,10,nonlinear,mini_batch,4055.153915198256,4055.1522292435557,0.0,0.0016859547005235451,15.0,3.0,0.0004999999946448952
32,0.001,0.0,L2,10,nonlinear,mini_batch,3304.4381055343692,3304.436997905846,0.0,0.0011076285232141244,20.0,4.0,0.0006381999992299825
32,0.001,0.0,L2,10,nonlinear,mini_batch,2763.024397691546,2763.02335425769,0.0,0.0010434338561545013,25.0,5.0,0.0007745000038994476
32,0.001,0.0,L2,10,nonlinear,mini_batch,1816.432077660216,1816.4311966810287,0.0,0.000880979187207469,30.0,6.0,0.000910000002477318
32,0.001,0.0,L2,10,nonlinear,mini_batch,2030.3105760873443,2030.3096300648995,0.0,0.0009460224448744374,35.0,7.0,0.0010449999972479418
32,0.001,0.0,L2,10,nonlinear,mini_batch,3075.527963309948,3075.5260431948363,0.0,0.0019201151115856897,40.0,8.0,0.0011787999974330887
32,0.001,0.0,L2,10,nonlinear,mini_batch,1452.2505886587412,1452.249563438023,0.0,0.001025220718204376,45.0,9.0,0.0013128999999025837
32,0.001,0.0,L2,10,nonlinear,mini_batch,6600.464281323579,6600.461995343138,0.0,0.002285980440419624,50.0,10.0,0.0014451000024564564
32,0.001,0.0,L2,10,nonlinear,mini_batch,1414.5071533093887,1414.5067095654695,0.0,0.00044374391919982636,55.0,11.0,0.0015760999958729371
32,0.001,0.0,L2,10,nonlinear,mini_batch,4625.385934776679,4625.384455865508,0.0,0.0014789111707154898,60.0,12.0,0.001707999996142462
32,0.001,0.0,L2,10,nonlinear,mini_batch,5120.201747249856,5120.200021552094,0.0,0.0017256977625604364,65.0,13.0,0.0018395999941276386
32,0.001,0.0,L2,10,nonlinear,mini_batch,1733.1288919458477,1733.1280487002375,0.0,0.0008432456102260613,70.0,14.0,0.0019711999921128154
32,0.001,0.0,L2,10,nonlinear,mini_batch,2228.4033909310447,2228.402584173495,0.0,0.0008067575496523471,75.0,15.0,0.002102099999319762
32,0.001,0.0,L2,10,nonlinear,mini_batch,1533.6407946158522,1533.6402805975529,0.0,0.0005140182993252821,80.0,16.0,0.002234999992651865
32,0.001,0.0,L2,10,nonlinear,mini_batch,1144.9170374283867,1144.916629729703,0.0,0.0004076986837811724,85.0,17.0,0.0023668999929213896
32,0.001,0.0,L2,10,nonlinear,mini_batch,3264.835618658405,3264.83444239277,0.0,0.0011762656350767853,90.0,18.0,0.002509700003429316
32,0.001,0.0,L2,10,nonlinear,mini_batch,2146.012317220295,2146.0116149223427,0.0,0.0007022979520474846,95.0,19.0,0.0026436000043759122
32,0.001,0.0,L2,10,nonlinear,mini_batch,1108.3532529977294,1108.352665646405,0.0,0.0005873513244793758,100.0,20.0,0.0027747999993152916
