batch_size,lambda2,lambda1,regularization,degree,dataset,method,loss,risk,l1,l2,grad_evals,epochs,time
32,0.0,0.0,none,10,nonlinear,mini_batch,0.8011107210671458,0.8011107210671458,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,none,10,nonlinear,mini_batch,6025.418731520523,6025.418731520523,0.0,0.0,5.0,1.0,0.00014620000729337335
32,0.0,0.0,none,10,nonlinear,mini_batch,2133.2096320293854,2133.2096320293854,0.0,0.0,10.0,2.0,0.0002589000068837777
32,0.0,0.0,none,10,nonlinear,mini_batch,959.7933191317964,959.7933191317964,0.0,0.0,15.0,3.0,0.00036660001205746084
32,0.0,0.0,none,10,nonlinear,mini_batch,2912.706093592778,2912.706093592778,0.0,0.0,20.0,4.0,0.0004853000136790797
32,0.0,0.0,none,10,nonlinear,mini_batch,2736.1513293840308,2736.1513293840308,0.0,0.0,25.0,5.0,0.0005911000043852255
32,0.0,0.0,none,10,nonlinear,mini_batch,3006.251182443413,3006.251182443413,0.0,0.0,30.0,6.0,0.0006965000065974891
32,0.0,0.0,none,10,nonlinear,mini_batch,2794.4241724228104,2794.4241724228104,0.0,0.0,35.0,7.0,0.0008017000072868541
32,0.0,0.0,none,10,nonlinear,mini_batch,2248.609436966675,2248.609436966675,0.0,0.0,40.0,8.0,0.0009049000072991475
32,0.0,0.0,none,10,nonlinear,mini_batch,2134.604647800542,2134.604647800542,0.0,0.0,45.0,9.0,0.0010085000103572384
32,0.0,0.0,none,10,nonlinear,mini_batch,989.007483515134,989.007483515134,0.0,0.0,50.0,10.0,0.0011104000004706904
32,0.0,0.0,none,10,nonlinear,mini_batch,2212.970119166575,2212.970119166575,0.0,0.0,55.0,11.0,0.0012134000135120004
32,0.0,0.0,none,10,nonlinear,mini_batch,3163.749744291522,3163.749744291522,0.0,0.0,60.0,12.0,0.0013157000066712499
32,0.0,0.0,none,10,nonlinear,mini_batch,1689.2942231889783,1689.2942231889783,0.0,0.0,65.0,13.0,0.0014177000120980665
32,0.0,0.0,none,10,nonlinear,mini_batch,2364.4422831865018,2364.4422831865018,0.0,0.0,70.0,14.0,0.0015190000121947378
32,0.0,0.0,none,10,nonlinear,mini_batch,1623.7293275422394,1623.7293275422394,0.0,0.0,75.0,15.0,0.0016213000053539872
32,0.0,0.0,none,10,nonlinear,mini_batch,338.7965804660727,338.7965804660727,0.0,0.0,80.0,16.0,0.0017237000138266012
32,0.0,0.0,none,10,nonlinear,mini_batch,1627.6321393816738,1627.6321393816738,0.0,0.0,85.0,17.0,0.0018256000039400533
32,0.0,0.0,none,10,nonlinear,mini_batch,1605.8931384461723,1605.8931384461723,0.0,0.0,90.0,18.0,0.0019275000086054206
32,0.0,0.0,none,10,nonlinear,mini_batch,1815.0279997375096,1815.0279997375096,0.0,0.0,95.0,19.0,0.0020290000102249905
32,0.0,0.0,none,10,nonlinear,mini_batch,1763.370903322377,1763.370903322377,0.0,0.0,100.0,20.0,0.0021311000018613413
32,0.0,0.0,none,10,nonlinear,mini_batch,1128.5452922879226,1128.5452922879226,0.0,0.0,105.0,21.0,0.0022333000088110566
32,0.0,0.0,none,10,nonlinear,mini_batch,1643.7308600293593,1643.7308600293593,0.0,0.0,110.0,22.0,0.0023354000004474074
32,0.0,0.0,none,10,nonlinear,mini_batch,464.54163021172883,464.54163021172883,0.0,0.0,115.0,23.0,0.0024465000024065375
32,0.0,0.0,none,10,nonlinear,mini_batch,2804.6007569671933,2804.6007569671933,0.0,0.0,120.0,24.0,0.002549700002418831
32,0.0,0.0,none,10,nonlinear,mini_batch,722.3799697875735,722.3799697875735,0.0,0.0,125.0,25.0,0.002654200012329966
32,0.0,0.0,none,10,nonlinear,mini_batch,2011.6907790567284,2011.6907790567284,0.0,0.0,130.0,26.0,0.0027575000131037086
32,0.0,0.0,none,10,nonlinear,mini_batch,987.7958530122085,987.7958530122085,0.0,0.0,135.0,27.0,0.0028599000070244074
