experiment,dataset,method,degree,regularization,lambda1,lambda2,batch_size,normalized,condition_number,loss,risk,l1,l2,iterations,epochs,grad_evals,time_seconds,status,converged,weights,alpha0,decay,clipped_updates,max_grad_norm,reg_label
regularization,nonlinear,mini_batch,10,none,0.0,0.0,32,True,29941797.45955508,0.4005517855078917,0.4005517855078917,0.0,0.0,1000,1000,5000,0.09853770000336226,max_epochs_reached,False,"[0.2560427446, 0.216730569, 0.2028798783, -0.0380204362, 0.08672004407, -0.1507893246, -0.03108903305, -0.1600686054, -0.1155161591, 0.08755438241, 0.03687420583]",0.002,0.02,727,1000.0,none
regularization,nonlinear,mini_batch,10,L1,0.0001,0.0,32,True,29941797.45955508,0.3999585508463096,0.3998368409597754,0.00012170988653422271,0.0,1000,1000,5000,0.14290440001059324,max_epochs_reached,False,"[0.261410137, 0.2110414868, 0.233585594, -0.0490872719, 0.1163514532, -0.1548550405, -0.02432124105, -0.147640409, -0.151687896, 0.0827832881, 0.04574518481]",0.002,0.02,696,1000.0,L1_1e-4
regularization,nonlinear,mini_batch,10,L1,0.001,0.0,32,True,29941797.45955508,0.39740674282972477,0.39615875401134226,0.0012479888183825139,0.0,1000,1000,5000,0.1459783000027528,max_epochs_reached,False,"[0.2676282579, 0.2158480025, 0.242188343, -0.05537232175, 0.1210720155, -0.1632435476, -0.02568860084, -0.1381175401, -0.1575597253, 0.08128611879, 0.04761260309]",0.002,0.02,705,1000.0,L1_1e-3
regularization,nonlinear,mini_batch,10,L1,0.01,0.0,32,True,29941797.45955508,0.421824235746748,0.4109820795478565,0.010842156198891513,0.0,1000,1000,5000,0.1447900000057416,max_epochs_reached,False,"[0.2591287275, 0.2278665346, 0.1880105243, -0.02202742092, 0.06948086268, -0.1508177498, -0.02877813566, -0.1724502121, -0.1028086518, 0.09107914991, 0.03089637816]",0.002,0.02,722,1000.0,L1_1e-2
regularization,nonlinear,mini_batch,10,L2,0.0,0.0001,32,True,29941797.45955508,0.39925142055460655,0.39923184022859565,0.0,1.9580326010925245e-05,1000,1000,5000,0.1263388999941526,max_epochs_reached,False,"[0.2613832803, 0.2146522784, 0.2335356005, -0.04647852766, 0.1163805085, -0.154753278, -0.02433345842, -0.1510619944, -0.1516837231, 0.08381384477, 0.04572716532]",0.002,0.02,686,1000.0,L2_1e-4
regularization,nonlinear,mini_batch,10,L2,0.0,0.001,32,True,29941797.45955508,0.3993104952242452,0.3991248347087758,0.0,0.0001856605154693946,1000,1000,5000,0.1284769000048982,max_epochs_reached,False,"[0.2639480243, 0.2100359225, 0.2290606394, -0.05745240028, 0.1086974151, -0.1611089102, -0.02862070487, -0.1363711671, -0.1421675036, 0.0805875646, 0.04338742091]",0.002,0.02,716,1000.0,L2_1e-3
regularization,nonlinear,mini_batch,10,L2,0.0,0.01,32,True,29941797.45955508,0.4105343029321395,0.4087948232187867,0.0,0.0017394797133528104,1000,1000,5000,0.1286757000052603,max_epochs_reached,False,"[0.2567652764, 0.2308972202, 0.1962478792, -0.02867384136, 0.08050515423, -0.1506094035, -0.03203033871, -0.1723351461, -0.1094741039, 0.09128090999, 0.03305486865]",0.002,0.02,727,1000.0,L2_1e-2
regularization,nonlinear,mini_batch,10,ElasticNet,0.001,0.001,32,True,29941797.45955508,0.40476651769521044,0.40339128085285625,0.0011933999091507095,0.0001818369332034863,1000,1000,5000,0.15168579999590293,max_epochs_reached,False,"[0.2644115357, 0.1783212758, 0.241627036, -0.07698144577, 0.1219119892, -0.1594769686, -0.0243569779, -0.1101451513, -0.1576852578, 0.07352892513, 0.04936488151]",0.002,0.02,715,1000.0,ElasticNet_1e-3
regularization,nonlinear,mini_batch,10,L1,0.1,0.0,32,True,29941797.45955508,0.5292130366139458,0.45696997320494714,0.07224306340899868,0.0,1000,1000,5000,0.14264410000760108,max_epochs_reached,False,"[0.2814497791, 0.1455870911, 0.1165422612, -5.299523291e-05, 0.0128080125, -0.1151817191, -0.0004835128798, -0.1612960007, -0.06999043797, 0.08239290192, 0.01809570148]",0.002,0.02,756,1000.0,L1_1e-1
regularization,nonlinear,mini_batch,10,L2,0.0,0.1,32,True,29941797.45955508,0.4472195600264056,0.4303284545139243,0.0,0.01689110551248132,1000,1000,5000,0.14779489999637008,max_epochs_reached,False,"[0.2601394418, 0.2469909334, 0.160566439, 0.005067372625, 0.05172398378, -0.1388301638, -0.03839990021, -0.2062792804, -0.07507435011, 0.09995597174, 0.02229442182]",0.002,0.02,766,1000.0,L2_1e-1
regularization,nonlinear,mini_batch,10,ElasticNet,0.1,0.1,32,True,29941797.45955508,0.5165723047374979,0.44038304106214504,0.06875146777403422,0.007437795901318662,1000,1000,5000,0.15587550000054762,max_epochs_reached,False,"[0.2816624668, 0.1143737847, 0.1222926829, -6.267558558e-05, 0.01844447964, -0.1093198604, -9.442068012e-05, -0.1480611636, -0.07482328429, 0.07763625878, 0.02240606724]",0.002,0.02,700,1000.0,ElasticNet_1e-1
